Cartella,File,Phi_Value,Kuramoto_r,Delta_Invariante,Inferred_State
AUTO_SYSTEM,mstl_elec_vic.csv,1.95e+04,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64-testset-1_1038.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64-testset-1.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64-testset-2_692.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64-testset-2.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-1_318.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-1_373.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-1_453.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-1.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-2.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,power_2011_927.csv,1.82e+02,0.0038,0.8462,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,power_2011.csv,1.82e+02,0.0038,0.8462,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-1_493.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-1_833.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-1_932.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-1.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-2_320.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-2_362.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-2.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,rand10000.csv,5.27e+03,0.0065,0.8435,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,randhie_384.csv,8.78e+03,86.4756,85.6256,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,randhie.csv,8.78e+03,86.4507,85.6007,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,racd10data_with_transformed.csv,2.18e+04,0.0508,0.7992,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,results_predict_fedfunds_254.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,results_predict_fedfunds.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,results_predict_rgnp.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,results_realgdpar_stata_565.csv,1.04e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,results_realgdpar_stata.csv,1.04e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-1.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-2_382.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-2_568.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-2.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-1_687.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sm3533.csv,1.53e+03,0.0142,0.8358,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,star98.csv,2.57e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stkprc_832.csv,1.12e+01,0.348,0.502,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stkprc.csv,1.12e+01,0.348,0.502,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stl_co2.csv,2.34e+02,0.028,0.822,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sunspots.csv,2.13e+02,0.0032,0.8468,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,test_lowess_delta.csv,3.38e+02,0.0063,0.8437,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-arccos_883.csv,1.10e+00,6758.2542,6757.4042,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccos.csv,1.10e+00,6509.2301,6508.3801,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccosh_711.csv,6.93e-01,6759.4635,6758.6135,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccosh.csv,6.93e-01,6636.9269,6636.0769,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsin_639.csv,1.39e+00,6452.371,6451.521,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsin_718.csv,1.39e+00,6328.0967,6327.2467,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsin.csv,1.39e+00,6540.206,6539.356,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctan_755.csv,1.10e+00,6667.8705,6667.0205,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctan_796.csv,1.10e+00,6699.4543,6698.6043,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctan.csv,1.10e+00,6630.7278,6629.8778,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctanh_1054.csv,6.93e-01,6619.053,6618.203,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctanh.csv,6.93e-01,6695.5658,6694.7158,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cbrt_174.csv,0.00e+00,24281.8987,24281.0487,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cbrt_275.csv,0.00e+00,25126.297,25125.447,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cbrt_301.csv,0.00e+00,23599.9321,23599.0821,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cbrt.csv,0.00e+00,24216.9313,24216.0813,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cos_615.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-cos_685.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-cos.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-cosh_686.csv,1.10e+00,6626.0712,6625.2212,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cosh.csv,1.10e+00,6375.6542,6374.8042,FASE CRITICA (Rischio Collasso)
